ITI Name,Phone Number,Email
Adilabad Private ITI Dasnapur,7842808535,adilabadpvtiti@g mail.com
Jahangir Peeran Industrial Training Centre,,afzal.mohd82@ yahoo.com.
"Surya Industrial Training Centre, kothagudem",,suryaitc.kgm@g mail.com
National Institute of Engineering Technology,,nietsiti@gmail.c om
Dimpy I TC,965263568,dimpypvtiti@gm ail.com
"Sri Bhagya Lakshmi Industrial Training Centre, Bhadrachalam",,"sbitibcm@gmail. com,"
Aware Industrial Training Centre (RVTC),,awareitc3006@r ediffmail.com
Indur ITI,"8,462,220,467","induritc9@gmail
.com"
"Ekashila Industrial Training Centre, Janagaon",,ekashilaitcjanga on@gmail.com
Sri Raghavendra Industrial Training Centre,,srpvtitisdnr@gm ail.com
Sri Srinivasa Industrial Training Centre,,suryaitc.kgm@g mail.com
"Shri Nagendra, Industrial
Training Centre",9290292229,"srinagendraitc@
gmail.com"
Naveen Industrial Training Centre,08682233040,suppa.999@gma il.com
National Industrial Training Centre,8540224027,nationalitingkl@ gmail.com
"Mount Carmel Boys Town Industrial Training Institute,
Paloncha",,mcbtiti@gmail.c om
Shakti Industrial Training Centre,9059700097,"shakti.itc@gmail
.com"
"Krushi Industrial Training Centre, Bhongir",9246969401,principalkiti@gm ail.com
Srinivasa Industrial Training Centre,8542233116,srinivasaitijcl158 @gmail.com
Badam Venkataiah Industrial Training Centre,,bvitc2000@gmai l.com
Vivekananda ITC,09949259170,vvknitctoopran @gmail.com
Tirumala Industrial Training Centre,,afsar888@gmail. com
Rajiv Gandhi Industrial Training Centre,9440232276,rgitinrml@gmail. com
Dr.B.R. Ambedkar Industrial Training Institute,09885508899,ambedkariti15@ gmail.com
Sri Sarada Industrial Training Institute,08689240178,saradaitcmlg@g mail.com
Marconi Industrial Training Centre,08682247853,marconiitinlg@g mail.com
Sri Venkateswara Industrial Training Centre,,kondasateeshku mar@gmail.com
Vivekananda Industrial Training Centre,08462239663,itivivekananda19 90@gmail.com
Vishwa Bharathi Industrial Training Centre,08462239663,"itivishwabharath i1990@gmail.co
m"
Viveka Industrial Training Centre,,"ksbabuiti@gmail
.com"
Ravi Industrial Training Centre,,somu.mamata81 @gmail.com
Haritha Econogical Industrial Training Centre,,"klritikdm@gmail
.com"
Sri Venkateswara Industrial Training Centre,8545226284,gvgjayaprakash @gmail.com
Shanmukha Industrial Training Centre,08683202917,shanmukhaiti.ko dad@gmail.com
Sri Jalagam Vengal Rao Industrial Training Centre,,jvritcspl@gmail.c om
Kranthi Industrial Training Centre,,chavalaxminaray ana@yahoo.com
S E S Nagendra Industrial Training Centre,,www.nsaraswat hi92@gmail.com
Dr. Ambedkar Minority IndustrialTraining Centre,,ambedkaritc300 4@rediffmail.co m
Jawaharlal Nehru Industrial Training Centre,9912095305,jniticpl@gmail.c om
Sai Industrial Training Centre,,saiiti1992@gmai l.com
Gouthami Industrial Training Centre,,gouthamiiti@gm ail.com
Priyadarshini Industrial Training Centre,9441463939,perurivenkanna2 8@gmail.com
"G.S.R. Industrial Training Centre, Jammikunta",,"gsritijmkt@gmail
.com"
Vijgnana Vardhini Industrial Training Centre,08694251438,vvitiramannapet @gmail.com
"Aditya Industrial Training
Centre",08682242209,"adityaitichityal@
gmail.com"
"St. Josephs Industrial
Training Centre",7702416777,"st.josephitip@g
mail.com"
Comp-Tech Industrial Training Centre,8542277026,Comptech1993 @rediffmail.com
Siddartha Industrial Training Centre,9848571409,siddarthaitibngr @gmail.com
Albert Industrial Training Centre,9440018873,albertitcbpl@gm ail.com
Pallavi Industrial Training Centre,,"pallavi.iti@gmail
.com"
Lewies Industrial Training Centre,9885478447,lewisitcskzr@gm ail.com
St. Louis Industrial Training Centre,9949105006,2911.stlouisiti@ gmail.com
SATYA Industrial Training Centre,9440431045,Chandu.gottipart hi@gmail.com
Fatima Industrial Training Centre,8546271386,fathimaiti@gmai l.com
Subhodaya Industrial training Centre,,srinivas.bandi20 10@gmail.com
"Samatha Industrial Training
Centre",,"samathaiti3112
@gmail.com"
Vivekavardhini Industrial Training Centre,,vvvardhiniiti@g mail.com
"Expertec Industrial Training Centre, Gouthpur",08411276302,anand.expertecit i@gmail.com
"Sri Balalji Industrial Training Centre, Zaheerabad","8,451,275,455",sbitc.1997@gma il.com
Manjeera Industrial Training Centre,0845224689,manjeeraitirmpe t@gmail.com
Aditya Industrial Training Centre,,"adiyapvtitiyellar eddy@gmail.co
m"
Engineers Educational Society Industrial Training Centre,,engineersitc@g mail.com
Rural Industrial Training Centre,,ruralitikollapur@ gmail.com
Vivekananda Industrial Training Centre,9440938864,"vnitc.tgiri@gmail
.com"
Sri Krishna Devaraya Industrial Training,09441529813,skditcbudera@g mail.com
Aditya Industrial Training Centre,,adityaitcgnp@g mail.com
Sarada Industrial Training Centre,,govindurathod@ gmail.com
Krishnaveni  Industrail Training Institute,,kitcitc@gmail.co m
Word and Deed ITC,04024201888,oscarhenry@gm ail.com
"Vijetha Industrial Training
Centre",,"itivijetha@gmail.
com"
Husnabad Industrial Training Centre,,husnabaditi@gm ail.com
Sanjeevani Industrial Training Centre,08691200414,sanjeevaniiti@g mail.com
"Sri Sathya Sai Industrial
Training Centre",,"ssspvtiti@gmail.
com"
St. Josephs TI Industrial Training Centre,9441549151,stjosephsrw@g mail.com
Srinivasa Industrail Training Centre Vellampally Road,,srinivasaiti@gm ail.com
Technocrats Industrail Training Centre,09032032939,technocratsitc@ gmail.com
Saradhi Residential Industrial Training Centre,08691200414,srinu.saradhiitc @gmail.com
Nandi Industrial Training Centre,,"kosgi.nitc@gmail
.com"
"Pragathi ITC., Garla",,ulikeitc@gmail.c om
Sri Rama ITC Bhadrachalam (Shifting From Karimnagar),,chavalaxminaray ana@yahoo.com
Pragathi Industrail Training Centre Chityala Road,,pragathiiti2005 @gmail.com
"Priyadarshini Industrail Training Centre Nandillamalla (Vill)
Athmakur Mand",,priyadarshiniiti @gmail.com
Hyderabad Industrail Training Centre Ragannagudem (V),,sureshbabulanka @gmail.com
"Pavan ITC., Sarapaka",,mohannaidubcm @gmail.com
Sri Raja Rajeswari Industrial Training Institute,8502244254,srrgdwl007@gm ail.com
Sri Rambhadra Industrial Training Centre Burgampahad Road,,sri.ramabhadra2 007@gmail.com
Mother Theresa ITC (Shifted from RR),,Motherteresa20 07@gmail.com
Shiva Joythi ITC,9949105105,shivajyothiiti@g mail.com
"Krishi Industrial Training Centre Shanti Nagar
Waddepally",,krushiiti2006@g mail.com
Wilfred ITC,,welfrediti2@gm ail.com
Vikas ITC,9908611632,vikasknr.knr@g mail.com
Laxmi ITC,,laxmiitimetpally @gmail.com
Sri Sai Private ITI,7207418349,srisaiitimm@gm ail.com
Kaveri Industrial Training Center,,kaveriitc2008@g mail.com
Patnam Rajender Reddy Memorial ITC,,prrmieeja@gmai l.com
Srinivasa ITC,09652375264,srinivasaitidubba k@gmail.com
Venkat Sai ITC,09849167848,venkatasaiitigaj wel@gmail.com
Vikas ITC,,vikasitibachanna pet@gmail.com
"Bhadragiri ITC V.M. Banjar,",,principalbhadrag iri@gmail.com
"Veerabhadhra ITC, paloncha",,jayabschool@gm ail.com
Margadarshi ITC,,goutami20122@ gmail.com
Thirumala ITC,,anjaneyuluyalas npally@gmail.co m
Saraswati MPHW (F) Teg. School,,NULL
Shravani Private ITI,,shravani106@g mail.com
SSR Private ITI,09441231299,ssriti2625@gmai l.com
Siva Shivani Private ITI,8008002219,sivashivani@gm ail.com
Sri Balaji Private ITI,,sribalajiitinaraya napet@gmail.co m
Balaji ITC,,balaji.iti01@gma il.com
Satya ITC,,satyaitiarmoor@ gmail.com
Jyothi Memorial Private ITI,,"jyothiti@outlook
.com"
Joginath Private ITI,09963115950,Joginathiti@gma il.com
Sri Sai Teja Private ITI,,"sstpiti@gmail.co
m"
Prabha School & Nursing ITC,9440073899,prabhapvtiti@g mail.com
Shiva Shankar Memorial Private ITI,,shivashankar.iti1 2@gmail.com
ANR(Anatula Narayan Reddy) Private ITI,,anriti2013@gma il.com
Padmavathi Private ITI,,padmavathiitivk b@gmail.com
Trinity Private ITI,,trinityiti2012@g mail.com
Indo-British Private ITI,09848488656,ibiti2626@gmail. com
Jupiter Private ITI,,jupiteritikothur @gmail.com
Palamoor Private ITI,8542236060,itipalamoor@gm ail.com`
Ravinranath Tagore Private ITI,9885886166,rnt.iti.bng@gmai l.com
Shiva Sai Private ITI,9848571409,srishivasaiitibngr @gmail.com
Siddartha Private ITI,,siddarthaitc2008 @gmail.com
VNR Private ITI,,vnritinarsampet @gmail.com
Sri Balaji Private ITI,,satyamkasala@g mail.com
"Sai Surya Teja Private ITI,",,sstejaitirnp@gm ail.com
"Andole Private Industrial
Training Institute",09618794109,"andolepvt.iti@g
mail.com"
"Tejaswi Private ITI, Husnabad",9866778087,tejaswiitihusnab ad@gmail.com
Sadhu Venkatreddy Pvt.ITI,,sadhuvenkatred dyiti@gmail.com
Noble Industrial Training Institute,,nobeliti@gmail.c om
Indira Pvt ITI Kesamudram,,indirapvtiti@gm ail.com
Doulphin Industrial Training Centre,,dolphinitisdnr@ gmail.com
SR Pvt ITI Jangoan Warangal,,sritijangaon@gm ail.com
Sreevani Pvt ITI,08452225124,sreevaniitichegu nta@gmail.com
Fathima Industrial Training Centre,,fatimaiti0709@g mail.com
Hazrath Industrial Training Centre,,hazrathiti@gmai l.com
"Venus Industrial Training Centre, Dankal",,3116.venusiti@g mail.com
HEH The Nizam  Alladin Technical Centre Industrial Training Centre,04024754007,nati- 786@hotmail.co m
"Maulana Azad National Urdu University, Industrial Training Institute
Gachibowli, Hyderabad",04023008414,principalitimanu uhyd@gmail.co m
Fatima Industrial Training Centre,,fatimaiti@gmail. com
Boys Town Industrial Training Centre,04024464511,boystown1955@ yahoo.com
National Institiue of craft & Technology Industrial Training Centre,9989566323,nictitctnka@gma il.com
Jafferia Technical Institiute Industrial Training Centre,04024525681,"mnkshafi@gmail
.com"
"Laurel Industrial Training Centre, Hanamkonda",,laureliti@gmail.c om
Lant Memorial Industrial Training Centre,,prasadrao654@ gmail.com
Hyderabad Technical College ITC,9392901695,alimahmoodali7 2@gmail.com
"Vivekananda Private ITI, Moulali",04027124772,vivekanandaiti19 83@gmail.com
"Vani Industrial Training Institute Centre, Khammam",,pharmachandu0 2@yahoo.co.in
Annapoorna Industrial Training Centre,04024821023,annapoorna.itc @gmail.com
Anjumans Omar Technical Training Centre,04065529400,dsurendher@gm ail.com
Sarada  Private ITI,04065570444,saradapvtiti@gm ail.com
Sai Krupa Industrial Training Centre,04024547406,saikrupaitc@gm ail.com
Manorama Industrial Training Centre,,as.murthy90@ya hoo.com
St. Josephs IndustrialTraining Institute for Women,,stjosephiti@gma il.com
Bharat Industrial Training Centre,04027003774,bharathitijdm@g mail.com
Medak Industrial Training Centre,09180130891,medakpiti@gmai l.com
Al-Sana Industrial Training Centre,,"kaleemulla20022
000@yahoo.co.i n"
Nagarjuna Industrial Training Centre,04023066130,veerareddy.badri @gmail.com
Smt. Indira Gandhi Memorial Industrial Training Centre,,indiragandhiitc3 010@rediffmail. com
Victor Industrial Training Centre,,"victoriti2@gmail
.com"
Shivashakti Industrial Training Centre,,shivashakthipvtit igdk@gmail.com
Millat Industrial Training Centre,,millath1992@g mail.com
Kiran Industrial Training Centre,,srinivasarutla.a. @gmail.com
Sidhartha Industrial Training Centre,,sidharthai.t.c@g mail.com
Sri Rama Industrial Training Centre,,sriramaiti9@gm ail.com
Sindura I T C (Old Name St Mary),,sindhura2812@g mail.com
Rehana Memorial Industrial Training Centre,,rehanaitckmm@ gmail.com
Sri Sai Industrial Training Centre,09440389992,anjaneyuluyalas anipally@gmail.c om
Satya Sri Industrial Training Centre,04024221474,rajaraosatyasri@ gmail.com
Vasavi Industrial Training Institute,,vijaypalreddy49 @gmail.com
"St. Anthony s Industrial Training Centre, Patancheruvu",09908228196,st.Anthonyitircp uram @gmail.com
Rock Church Industrial Training Centre,,ssmummidivara pu@yahoo.com
Hyderabad Industrial Training Centre,,hyditihastinapur am65@gmail.co m
